T?NG H?P T?N KHO;;;;;;;;
Kho: Kho Vientiane SPM, T? ngày 04/10/2025 ??n ngày 20/12/2025;;;;;;;;
STT;Mã hàng;Tên hàng;?VT;Cu?i k?;SL Ki?m kê;Chênh l?ch;Ghi chú;
100;8936063740039;Khao nom LIPO Cream egg ( tr?ng ) -??????;Bag;7.119 ;;;;
101;8936063741043;Khao Nom LIPO Chocolate 135g ( socola  )  - ???????;Bag;4.626 ;;;;
102;8936063741678;Khao Nom LIPO Thua Lien 135g ( sau rieng ) - ??????;Bag;3.931 ;;;;
103;8936160700790;Khao nom mark kuoi / Khay khiem 250g;Bag;47 ;;;;
104;KNRM;Khao nom Roma;Box;2 ;;;;
105;841165146260;Khao Nom Treat 360G ???360;Box;6.578 ;;;;
106;250YGKN;Khao nom YOGURT CAKE 250g ( Egg - MILK - Dokbua - Mark Teng);Bag;2.484 ;;;;
107;841165128686;Lexus Vegetable crackers 240gm Pran;An;371 ;;;;
108;8936013930695;Mai jim kheo 1 kan  ( t?m gi?y ) - ???1?;Fax;2.233 ;;;;
109;8936013930206;mai jim kheo laem ( T?m nh?n ) - ?????;Fax;1.016 ;;;;
110;8938506010310;Mark Kuay 200g ( chu?i sây ) - ??200;Bag;432 ;;;;
111;8938506010303;Mark Kuay 80g  ( Chu?i S?y  ) ??80;Gói;36 ;;;;
112;MLS2L100;Mark laseng king  - ???????????????? king raisins 100g ( ????? );H?p;274 ;;;;
113;MLS3L100;Mark laseng king  - ???????????????? king raisins 100g (8 ????? );H?p;68 ;;;;
114;MLS1L100;Mark laseng king - ???????????????? king raisins  100g;H?p;40 ;;;;
115;MLSOP100;Mark laseng op heng ???????????????? 100g;Box;71 ;;;;
116;MLS4L100;Mark laseng Raisin  - ???????????????? Raisin 100g;H?p;308 ;;;;
117;MLS6L100;Mark laseng Raisin  - ???????????????? Raisin 100g ?????????;H?p;240 ;;;;
118;MLS7L100;Mark laseng Seedless  - ???????????????? eedless 100g  6 ?????;H?p;43 ;;;;
119;MLSSL;Mark laseng seedless  - ???????????????? seedless 100g;Box;9.885 ;;;;
120;8938506010693;Mark Mai Luom 80g ( Trái cây s?y ) ???80;Gói;571 ;;;;
121;8938506010433;Mark may Luom 250g ( trái cây s?y ) - ???250;Bag;584 ;;;;
122;8938506010358;Mark mi  80g ( Mít S?y ) - ????80;Gói;2.330 ;;;;
123;8938506010259;Mark Mi 200g -??200;Bag;627 ;;;;
124;8936024925642;May Phan Hu ATEN ( Kan may) Bag 100kan - ?????100?;Fax;467 ;;;;
125;8936024925666;May Phan Hu ATEN ( Kan may) Box 200kan - ???????200;Fax;60 ;;;;
126;8936024920678;May Phan Hu ATEN Baby Box - ?????????;Fax;38 ;;;;
127;8936024920623;May Phan Hu ATEN Baby thung Zipper - ?????????;Fax;3.000 ;;;;
128;8936024920548;May Phan Hu ATEN PHUYAI  thung Zipper - ???????;Fax;1.590 ;;;;
129;8936024920661;May Phan Hu ATEN PHUYAI BOX -?????????;Fax;2 ;;;;
130;8936024920333;May phan hu Dr Pan 43 -??????43;Fax;80 ;;;;
131;1NYMPH;May phan hu Yumy kisd pen thong 100karn(noi) - ???????;Fax;9 ;;;;
132;2YYMPH;May phan hu Yumy pen kap 200karn(yai) - ???????200;Fax;66 ;;;;
133;8936048473921;Me Reeva Lod Kai ( 65g 30bag/ket) - ?????;Bag;64 ;;;;
134;8936048470623;Me Reeva Lod Tom Yum ( 65g 30bag/ket) -?????;Bag;3.581 ;;;;
135;8936010681668;Me SepSep Spaghetti BBQ 105G - ?????????;Box;5.601 ;;;;
136;8936010681316;Me SEPSEP Spaghetti ngua 105g - ???????;Box;18.084 ;;;;
